Date,SUNRISE_LST,SUNSET_LST
1/1/2021,7:20:36,16:39:37
1/2/2021,7:20:42,16:40:27
1/3/2021,7:20:46,16:41:19
1/4/2021,7:20:47,16:42:13
1/5/2021,7:20:47,16:43:07
1/6/2021,7:20:44,16:44:03
1/7/2021,7:20:38,16:45:01
1/8/2021,7:20:31,16:46:00
1/9/2021,7:20:21,16:47:00
1/10/2021,7:20:09,16:48:01
1/11/2021,7:19:54,16:49:04
1/12/2021,7:19:38,16:50:07
1/13/2021,7:19:19,16:51:11
1/14/2021,7:18:58,16:52:17
1/15/2021,7:18:35,16:53:23
1/16/2021,7:18:10,16:54:30
1/17/2021,7:17:42,16:55:38
1/18/2021,7:17:13,16:56:47
1/19/2021,7:16:41,16:57:56
1/20/2021,7:16:07,16:59:07
1/21/2021,7:15:31,17:00:17
1/22/2021,7:14:53,17:01:28
1/23/2021,7:14:13,17:02:40
1/24/2021,7:13:31,17:03:52
1/25/2021,7:12:47,17:05:04
1/26/2021,7:12:02,17:06:17
1/27/2021,7:11:14,17:07:30
1/28/2021,7:10:24,17:08:44
1/29/2021,7:09:33,17:09:57
1/30/2021,7:08:40,17:11:11
1/31/2021,7:07:44,17:12:25
2/1/2021,7:06:48,17:13:39
2/2/2021,7:05:49,17:14:53
2/3/2021,7:04:49,17:16:07
2/4/2021,7:03:47,17:17:21
2/5/2021,7:02:44,17:18:35
2/6/2021,7:01:39,17:19:49
2/7/2021,7:00:32,17:21:03
2/8/2021,6:59:24,17:22:16
2/9/2021,6:58:15,17:23:30
2/10/2021,6:57:04,17:24:44
2/11/2021,6:55:52,17:25:57
2/12/2021,6:54:38,17:27:10
2/13/2021,6:53:23,17:28:23
2/14/2021,6:52:07,17:29:36
2/15/2021,6:50:49,17:30:48
2/16/2021,6:49:30,17:32:00
2/17/2021,6:48:10,17:33:12
2/18/2021,6:46:49,17:34:24
2/19/2021,6:45:27,17:35:35
2/20/2021,6:44:04,17:36:46
2/21/2021,6:42:40,17:37:57
2/22/2021,6:41:14,17:39:08
2/23/2021,6:39:48,17:40:18
2/24/2021,6:38:21,17:41:28
2/25/2021,6:36:53,17:42:37
2/26/2021,6:35:24,17:43:47
2/27/2021,6:33:55,17:44:56
2/28/2021,6:32:24,17:46:04
3/1/2021,6:30:53,17:47:13
3/2/2021,6:29:21,17:48:21
3/3/2021,6:27:48,17:49:28
3/4/2021,6:26:15,17:50:36
3/5/2021,6:24:41,17:51:43
3/6/2021,6:23:06,17:52:50
3/7/2021,6:21:31,17:53:57
3/8/2021,6:19:56,17:55:03
3/9/2021,6:18:20,17:56:09
3/10/2021,6:16:43,17:57:15
3/11/2021,6:15:06,17:58:21
3/12/2021,6:13:29,17:59:26
3/13/2021,6:11:52,18:00:31
3/14/2021,6:10:14,18:01:36
3/15/2021,6:08:35,18:02:41
3/16/2021,6:06:57,18:03:46
3/17/2021,6:05:18,18:04:50
3/18/2021,6:03:39,18:05:54
3/19/2021,6:02:00,18:06:58
3/20/2021,6:00:21,18:08:02
3/21/2021,5:58:41,18:09:06
3/22/2021,5:57:02,18:10:10
3/23/2021,5:55:23,18:11:13
3/24/2021,5:53:43,18:12:16
3/25/2021,5:52:04,18:13:20
3/26/2021,5:50:24,18:14:23
3/27/2021,5:48:45,18:15:26
3/28/2021,5:47:06,18:16:29
3/29/2021,5:45:27,18:17:32
3/30/2021,5:43:48,18:18:35
3/31/2021,5:42:09,18:19:38
4/1/2021,5:40:30,18:20:40
4/2/2021,5:38:52,18:21:43
4/3/2021,5:37:14,18:22:46
4/4/2021,5:35:37,18:23:49
4/5/2021,5:33:59,18:24:51
4/6/2021,5:32:22,18:25:54
4/7/2021,5:30:46,18:26:57
4/8/2021,5:29:10,18:28:00
4/9/2021,5:27:34,18:29:02
4/10/2021,5:25:59,18:30:05
4/11/2021,5:24:25,18:31:08
4/12/2021,5:22:51,18:32:11
4/13/2021,5:21:17,18:33:13
4/14/2021,5:19:45,18:34:16
4/15/2021,5:18:12,18:35:19
4/16/2021,5:16:41,18:36:22
4/17/2021,5:15:10,18:37:25
4/18/2021,5:13:40,18:38:28
4/19/2021,5:12:11,18:39:30
4/20/2021,5:10:43,18:40:33
4/21/2021,5:09:15,18:41:36
4/22/2021,5:07:48,18:42:39
4/23/2021,5:06:23,18:43:42
4/24/2021,5:04:58,18:44:45
4/25/2021,5:03:34,18:45:48
4/26/2021,5:02:11,18:46:50
4/27/2021,5:00:49,18:47:53
4/28/2021,4:59:29,18:48:56
4/29/2021,4:58:09,18:49:59
4/30/2021,4:56:50,18:51:01
5/1/2021,4:55:33,18:52:03
5/2/2021,4:54:17,18:53:06
5/3/2021,4:53:02,18:54:08
5/4/2021,4:51:48,18:55:10
5/5/2021,4:50:36,18:56:12
5/6/2021,4:49:25,18:57:13
5/7/2021,4:48:15,18:58:15
5/8/2021,4:47:06,18:59:16
5/9/2021,4:46:00,19:00:17
5/10/2021,4:44:54,19:01:17
5/11/2021,4:43:50,19:02:17
5/12/2021,4:42:47,19:03:17
5/13/2021,4:41:46,19:04:17
5/14/2021,4:40:47,19:05:16
5/15/2021,4:39:49,19:06:14
5/16/2021,4:38:53,19:07:12
5/17/2021,4:37:58,19:08:10
5/18/2021,4:37:05,19:09:07
5/19/2021,4:36:14,19:10:03
5/20/2021,4:35:25,19:10:59
5/21/2021,4:34:37,19:11:54
5/22/2021,4:33:51,19:12:49
5/23/2021,4:33:07,19:13:42
5/24/2021,4:32:24,19:14:35
5/25/2021,4:31:44,19:15:27
5/26/2021,4:31:05,19:16:18
5/27/2021,4:30:28,19:17:09
5/28/2021,4:29:54,19:17:58
5/29/2021,4:29:21,19:18:46
5/30/2021,4:28:49,19:19:34
5/31/2021,4:28:20,19:20:20
6/1/2021,4:27:53,19:21:05
6/2/2021,4:27:28,19:21:49
6/3/2021,4:27:05,19:22:31
6/4/2021,4:26:43,19:23:13
6/5/2021,4:26:24,19:23:53
6/6/2021,4:26:07,19:24:32
6/7/2021,4:25:51,19:25:09
6/8/2021,4:25:38,19:25:45
6/9/2021,4:25:27,19:26:20
6/10/2021,4:25:17,19:26:53
6/11/2021,4:25:10,19:27:24
6/12/2021,4:25:04,19:27:54
6/13/2021,4:25:01,19:28:23
6/14/2021,4:25:00,19:28:49
6/15/2021,4:25:00,19:29:14
6/16/2021,4:25:02,19:29:38
6/17/2021,4:25:07,19:29:59
6/18/2021,4:25:13,19:30:19
6/19/2021,4:25:21,19:30:37
6/20/2021,4:25:31,19:30:53
6/21/2021,4:25:43,19:31:07
6/22/2021,4:25:57,19:31:20
6/23/2021,4:26:12,19:31:30
6/24/2021,4:26:30,19:31:39
6/25/2021,4:26:49,19:31:45
6/26/2021,4:27:09,19:31:50
6/27/2021,4:27:32,19:31:53
6/28/2021,4:27:56,19:31:53
6/29/2021,4:28:21,19:31:52
6/30/2021,4:28:49,19:31:49
7/1/2021,4:29:17,19:31:43
7/2/2021,4:29:48,19:31:36
7/3/2021,4:30:20,19:31:26
7/4/2021,4:30:53,19:31:15
7/5/2021,4:31:27,19:31:02
7/6/2021,4:32:03,19:30:46
7/7/2021,4:32:41,19:30:28
7/8/2021,4:33:19,19:30:09
7/9/2021,4:33:59,19:29:47
7/10/2021,4:34:40,19:29:24
7/11/2021,4:35:22,19:28:58
7/12/2021,4:36:05,19:28:31
7/13/2021,4:36:50,19:28:01
7/14/2021,4:37:35,19:27:29
7/15/2021,4:38:21,19:26:56
7/16/2021,4:39:08,19:26:20
7/17/2021,4:39:57,19:25:43
7/18/2021,4:40:46,19:25:04
7/19/2021,4:41:35,19:24:23
7/20/2021,4:42:26,19:23:40
7/21/2021,4:43:17,19:22:55
7/22/2021,4:44:09,19:22:08
7/23/2021,4:45:02,19:21:20
7/24/2021,4:45:55,19:20:29
7/25/2021,4:46:49,19:19:37
